# mass	sfr	metal
1.019731044769287109e+01 4.434601068496704102e-01 8.980833053588867188e+00
1.001712989807128906e+01 -4.886599183082580566e-01 8.946971893310546875e+00
1.013348293304443359e+01 4.433000981807708740e-01 9.097233772277832031e+00
9.548643112182617188e+00 -4.421299099922180176e-01 8.796117782592773438e+00
8.944876670837402344e+00 -8.807699084281921387e-01 8.361294746398925781e+00
1.040702056884765625e+01 1.351300925016403198e-01 9.049924850463867188e+00
8.258000373840332031e+00 1.406200826168060303e-01 8.027692794799804688e+00
9.698669433593750000e+00 -4.171990975737571716e-02 9.034885406494140625e+00
8.861285209655761719e+00 -7.152999043464660645e-01 8.384022712707519531e+00
9.554463386535644531e+00 1.354500949382781982e-01 8.710288047790527344e+00
9.204295158386230469e+00 -2.135099023580551147e-01 8.770299911499023438e+00
1.013776969909667969e+01 6.271200776100158691e-01 9.157652854919433594e+00
1.080689239501953125e+01 1.059680104255676270e+00 9.211312294006347656e+00
8.759239196777343750e+00 -1.193969964981079102e+00 8.762136459350585938e+00
1.068517208099365234e+01 1.413701027631759644e-01 9.017751693725585938e+00
9.578186035156250000e+00 -4.111990332603454590e-02 8.801693916320800781e+00
1.071030235290527344e+01 8.701000809669494629e-01 9.117980957031250000e+00
1.043036270141601562e+01 6.804500818252563477e-01 9.109754562377929688e+00
9.375899314880371094e+00 -3.471198976039886475e-01 8.709241867065429688e+00
9.604813575744628906e+00 1.499601006507873535e-01 8.723171234130859375e+00
9.969195365905761719e+00 -4.003399014472961426e-01 8.809079170227050781e+00
1.013645267486572266e+01 3.369009494781494141e-02 8.948088645935058594e+00
9.537554740905761719e+00 -2.470990642905235291e-02 8.717167854309082031e+00
8.804806709289550781e+00 4.511009901762008667e-02 8.739305496215820312e+00
9.757861137390136719e+00 -1.367699056863784790e-01 8.653001785278320312e+00
9.587440490722656250e+00 -7.780799269676208496e-01 8.858362197875976562e+00
9.714431762695312500e+00 -1.508198976516723633e-01 8.806195259094238281e+00
9.011726379394531250e+00 -5.275990441441535950e-02 8.403289794921875000e+00
1.021414947509765625e+01 2.874600887298583984e-01 9.062119483947753906e+00
1.023163795471191406e+01 2.691501080989837646e-01 9.055054664611816406e+00
9.423465728759765625e+00 8.474009484052658081e-02 8.429655075073242188e+00
1.067515563964843750e+01 7.934800982475280762e-01 9.019944190979003906e+00
1.021595191955566406e+01 3.426901102066040039e-01 8.890306472778320312e+00
9.143244743347167969e+00 -5.011799335479736328e-01 8.718974113464355469e+00
8.532707214355468750e+00 -6.608499288558959961e-01 9.084741592407226562e+00
9.932866096496582031e+00 -5.682498812675476074e-01 8.859382629394531250e+00
1.009679126739501953e+01 5.857000946998596191e-01 9.150372505187988281e+00
1.068719005584716797e+01 6.256700754165649414e-01 9.249667167663574219e+00
7.624671459197998047e+00 -1.056449890136718750e+00 8.623148918151855469e+00
1.034836006164550781e+01 4.167800843715667725e-01 9.067548751831054688e+00
9.440823554992675781e+00 -2.005598992109298706e-01 8.839017868041992188e+00
1.006655788421630859e+01 1.347201019525527954e-01 9.054347038269042969e+00
9.977123260498046875e+00 -5.080798864364624023e-01 9.032190322875976562e+00
1.037823963165283203e+01 6.799800992012023926e-01 9.042585372924804688e+00
1.082016944885253906e+01 9.533501267433166504e-01 9.120963096618652344e+00
9.689462661743164062e+00 -3.157499134540557861e-01 8.702855110168457031e+00
9.862764358520507812e+00 4.746600985527038574e-01 8.899995803833007812e+00
1.047245025634765625e+01 6.262100934982299805e-01 9.062321662902832031e+00
1.003342056274414062e+01 -4.727199077606201172e-01 8.983549118041992188e+00
9.243349075317382812e+00 -3.350999057292938232e-01 8.468937873840332031e+00
9.623721122741699219e+00 1.069800138473510742e+00 8.824532508850097656e+00
9.531674385070800781e+00 -6.472099423408508301e-01 8.916136741638183594e+00
